# --------------------------------------------------------------------------------
#  pi-hosts.txt
# --------------------------------------------------------------------------------
#  List of Raspberry Pi kiosks at Kelowna Curling Club
#  Format: <ip-address> <hostname>
#  Lines starting with # are ignored
# --------------------------------------------------------------------------------
 
10.200.30.11 kcc-pi-01
10.200.30.12 kcc-pi-02
10.200.30.13 kcc-pi-03
10.200.30.14 kcc-pi-04
10.200.30.15 kcc-pi-05
10.200.30.16 kcc-pi-06
10.200.30.17 kcc-pi-07
10.200.30.18 kcc-pi-08
10.200.30.19 kcc-pi-09
10.200.30.20 kcc-pi-10
10.200.30.21 kcc-pi-11
10.200.30.22 kcc-pi-12
10.200.30.23 kcc-pi-13
